ballx,bally,velx,vely,paddley
357,175,8,-8,150
365,167,8,-8,150
373,159,8,-8,150
381,151,8,-8,150
389,143,8,-8,150
397,135,8,-8,150
405,127,8,-8,150
413,119,8,-8,150
421,111,8,-8,150
429,103,8,-8,150
437,95,8,-8,150
445,87,8,-8,150
453,79,8,-8,150
461,71,8,-8,150
469,63,8,-8,150
477,55,8,-8,150
485,47,8,-8,150
493,39,8,-8,150
501,31,8,-8,150
509,23,8,-8,150
517,31,8,8,150
525,39,8,8,150
533,47,8,8,150
541,55,8,8,150
549,63,8,8,150
557,71,8,8,150
565,79,8,8,150
573,87,8,8,150
581,95,8,8,150
589,103,8,8,150
597,111,8,8,150
605,119,8,8,150
613,127,8,8,150
621,135,8,8,150
629,143,8,8,150
637,151,8,8,150
645,159,8,8,150
653,167,8,8,150
661,175,8,8,150
653,183,-8,8,150
645,191,-8,8,150
637,199,-8,8,150
629,207,-8,8,150
621,215,-8,8,150
613,223,-8,8,150
605,231,-8,8,150
597,239,-8,8,150
589,247,-8,8,150
581,255,-8,8,150
573,263,-8,8,150
565,271,-8,8,150
557,279,-8,8,150
549,287,-8,8,150
541,295,-8,8,150
533,303,-8,8,150
525,311,-8,8,150
517,319,-8,8,150
509,327,-8,8,144
501,335,-8,8,138
493,343,-8,8,132
485,351,-8,8,132
477,359,-8,8,132
469,367,-8,8,132
461,375,-8,8,132
453,367,-8,-8,132
445,359,-8,-8,132
437,351,-8,-8,132
429,343,-8,-8,132
421,335,-8,-8,132
413,327,-8,-8,132
405,319,-8,-8,132
397,311,-8,-8,132
389,303,-8,-8,132
381,295,-8,-8,132
373,287,-8,-8,132
365,279,-8,-8,132
357,271,-8,-8,126
349,263,-8,-8,120
341,255,-8,-8,114
333,247,-8,-8,108
325,239,-8,-8,102
317,231,-8,-8,96
309,223,-8,-8,90
301,215,-8,-8,84
293,207,-8,-8,78
285,199,-8,-8,72
277,191,-8,-8,66
269,183,-8,-8,60
261,175,-8,-8,54
253,167,-8,-8,48
245,159,-8,-8,42
237,151,-8,-8,36
229,143,-8,-8,36
221,135,-8,-8,36
213,127,-8,-8,36
205,119,-8,-8,36
197,111,-8,-8,36
189,103,-8,-8,30
181,95,-8,-8,24
173,87,-8,-8,18
165,79,-8,-8,14
157,71,-8,-8,14
149,63,-8,-8,14
141,55,-8,-8,14
133,47,-8,-8,14
125,39,-8,-8,20
117,31,-8,-8,20
109,23,-8,-8,20
101,31,-8,8,20
93,39,-8,8,20
85,47,-8,8,20
77,55,-8,8,26
69,63,-8,8,32
61,71,-8,8,38
53,79,-8,8,44
45,87,-8,8,50
53,95,8,8,56
61,103,8,8,62
69,111,8,8,68
77,119,8,8,74
85,127,8,8,80
93,135,8,8,86
101,143,8,8,92
109,151,8,8,98
117,159,8,8,104
125,167,8,8,110
133,175,8,8,116
141,183,8,8,122
149,191,8,8,128
157,199,8,8,134
165,207,8,8,140
173,215,8,8,146
181,223,8,8,152
189,231,8,8,158
197,239,8,8,164
205,247,8,8,170
213,255,8,8,176
221,263,8,8,182
229,271,8,8,188
237,279,8,8,194
245,287,8,8,200
253,295,8,8,206
261,303,8,8,206
269,311,8,8,206
277,319,8,8,206
285,327,8,8,206
293,335,8,8,206
301,343,8,8,206
309,351,8,8,206
317,359,8,8,206
325,367,8,8,206
333,375,8,8,206
341,367,8,-8,206
349,359,8,-8,206
357,351,8,-8,206
365,343,8,-8,206
373,335,8,-8,206
381,327,8,-8,206
389,319,8,-8,206
397,311,8,-8,206
405,303,8,-8,206
413,295,8,-8,206
421,287,8,-8,206
429,279,8,-8,206
437,271,8,-8,206
445,263,8,-8,206
453,255,8,-8,206
461,247,8,-8,206
469,239,8,-8,206
477,231,8,-8,206
485,223,8,-8,206
493,215,8,-8,206
501,207,8,-8,206
509,199,8,-8,206
517,191,8,-8,206
525,183,8,-8,206
533,175,8,-8,206
541,167,8,-8,206
549,159,8,-8,206
557,151,8,-8,206
565,143,8,-8,206
573,135,8,-8,206
581,127,8,-8,206
589,119,8,-8,206
597,111,8,-8,206
605,103,8,-8,206
613,95,8,-8,206
621,87,8,-8,206
629,79,8,-8,206
637,71,8,-8,206
645,63,8,-8,206
653,55,8,-8,206
661,47,8,-8,206
653,39,-8,-8,206
645,31,-8,-8,206
